timestamp,MpKrakBujaka-PM10-1g,PM10_Forecast_3h,PM10_Forecast_8h,PM10_Forecast_12h
2017-01-15 16:00:00,23.6112,62.7188,34.7368,46.5872
2017-01-15 17:00:00,45.9319,56.9859,48.6313,55.03
2017-01-15 18:00:00,57.2947,59.3461,60.7401,42.1886
2017-01-15 19:00:00,62.7188,52.2857,51.0623,44.7224
2017-01-15 20:00:00,56.9859,38.0063,46.5872,44.6028
2017-01-15 21:00:00,59.3461,34.7368,55.03,54.4673
2017-01-15 22:00:00,52.2857,48.6313,42.1886,45.8553
2017-01-15 23:00:00,38.0063,60.7401,44.7224,37.6536
2017-01-16 00:00:00,34.7368,51.0623,44.6028,24.9127
2017-01-16 01:00:00,48.6313,46.5872,54.4673,35.1798
2017-01-16 02:00:00,60.7401,55.03,45.8553,36.8609
2017-01-16 03:00:00,51.0623,42.1886,37.6536,30.2601
2017-01-16 04:00:00,46.5872,44.7224,24.9127,42.5282
2017-01-16 05:00:00,55.03,44.6028,35.1798,55.4589
2017-01-16 06:00:00,42.1886,54.4673,36.8609,84.1693
2017-01-16 07:00:00,44.7224,45.8553,30.2601,79.7698
2017-01-16 08:00:00,44.6028,37.6536,42.5282,86.2017
2017-01-16 09:00:00,54.4673,24.9127,55.4589,98.5648
2017-01-16 10:00:00,45.8553,35.1798,84.1693,91.6272
2017-01-16 11:00:00,37.6536,36.8609,79.7698,107.723
2017-01-16 12:00:00,24.9127,30.2601,86.2017,96.7958
2017-01-16 13:00:00,35.1798,42.5282,98.5648,96.6536
2017-01-16 14:00:00,36.8609,55.4589,91.6272,108.428
2017-01-16 15:00:00,30.2601,84.1693,107.723,129.009
2017-01-16 16:00:00,42.5282,79.7698,96.7958,109.021
2017-01-16 17:00:00,55.4589,86.2017,96.6536,109.362
2017-01-16 18:00:00,84.1693,98.5648,108.428,113.399
2017-01-16 19:00:00,79.7698,91.6272,129.009,125.437
2017-01-16 20:00:00,86.2017,107.723,109.021,113.928
2017-01-16 21:00:00,98.5648,96.7958,109.362,116.986
2017-01-16 22:00:00,91.6272,96.6536,113.399,112.271
2017-01-16 23:00:00,107.723,108.428,125.437,102.974
2017-01-17 00:00:00,96.7958,129.009,113.928,75.5886
2017-01-17 01:00:00,96.6536,109.021,116.986,84.984
2017-01-17 02:00:00,108.428,109.362,112.271,111.512
2017-01-17 03:00:00,129.009,113.399,102.974,73.4512
2017-01-17 04:00:00,109.021,125.437,75.5886,60.678
2017-01-17 05:00:00,109.362,113.928,84.984,59.0007
2017-01-17 06:00:00,113.399,116.986,111.512,43.9529
2017-01-17 07:00:00,125.437,112.271,73.4512,34.8437
2017-01-17 08:00:00,113.928,102.974,60.678,45.8251
2017-01-17 09:00:00,116.986,75.5886,59.0007,32.4452
2017-01-17 10:00:00,112.271,84.984,43.9529,44.5554
2017-01-17 11:00:00,102.974,111.512,34.8437,48.5804
